,symbol
0,BTCUSDT
1,ETHUSDT
2,BCHUSDT
3,XRPUSDT
4,EOSUSDT
5,LTCUSDT
6,TRXUSDT
7,ETCUSDT
8,LINKUSDT
9,XLMUSDT
10,ADAUSDT
11,XMRUSDT
12,DASHUSDT
13,ZECUSDT
14,XTZUSDT
15,BNBUSDT
16,ATOMUSDT
17,ONTUSDT
18,IOTAUSDT
19,BATUSDT
20,VETUSDT
21,NEOUSDT
22,QTUMUSDT
23,IOSTUSDT
24,THETAUSDT
25,ALGOUSDT
26,ZILUSDT
27,KNCUSDT
28,ZRXUSDT
29,COMPUSDT
30,OMGUSDT
31,DOGEUSDT
32,SXPUSDT
33,KAVAUSDT
34,BANDUSDT
35,RLCUSDT
36,WAVESUSDT
37,MKRUSDT
38,SNXUSDT
39,DOTUSDT
40,DEFIUSDT
41,YFIUSDT
42,BALUSDT
43,CRVUSDT
44,TRBUSDT
45,RUNEUSDT
46,SUSHIUSDT
47,SRMUSDT
48,EGLDUSDT
49,SOLUSDT
50,ICXUSDT
51,STORJUSDT
52,BLZUSDT
53,UNIUSDT
54,AVAXUSDT
55,FTMUSDT
56,HNTUSDT
57,ENJUSDT
58,FLMUSDT
59,TOMOUSDT
60,RENUSDT
61,KSMUSDT
62,NEARUSDT
63,AAVEUSDT
64,FILUSDT
65,RSRUSDT
66,LRCUSDT
67,MATICUSDT
68,OCEANUSDT
69,CVCUSDT
70,BELUSDT
71,CTKUSDT
72,AXSUSDT
73,ALPHAUSDT
74,ZENUSDT
75,SKLUSDT
76,GRTUSDT
77,1INCHUSDT
78,CHZUSDT
79,SANDUSDT
80,ANKRUSDT
81,BTSUSDT
82,LITUSDT
83,UNFIUSDT
84,REEFUSDT
85,RVNUSDT
86,SFPUSDT
87,XEMUSDT
88,COTIUSDT
89,CHRUSDT
90,MANAUSDT
91,ALICEUSDT
92,HBARUSDT
93,ONEUSDT
94,LINAUSDT
95,STMXUSDT
96,DENTUSDT
97,CELRUSDT
98,HOTUSDT
99,MTLUSDT
100,OGNUSDT
101,NKNUSDT
102,SCUSDT
103,DGBUSDT
104,1000SHIBUSDT
105,ICPUSDT
106,BAKEUSDT
107,GTCUSDT
108,BTCDOMUSDT
109,TLMUSDT
110,IOTXUSDT
111,AUDIOUSDT
112,RAYUSDT
113,C98USDT
114,MASKUSDT
115,ATAUSDT
116,DYDXUSDT
117,1000XECUSDT
118,GALAUSDT
119,CELOUSDT
120,ARUSDT
121,KLAYUSDT
122,ARPAUSDT
123,CTSIUSDT
124,LPTUSDT
125,ENSUSDT
126,PEOPLEUSDT
127,ANTUSDT
128,ROSEUSDT
129,DUSKUSDT
130,FLOWUSDT
131,IMXUSDT
132,API3USDT
133,GMTUSDT
134,APEUSDT
135,BNXUSDT
136,WOOUSDT
137,FTTUSDT
138,JASMYUSDT
139,DARUSDT
140,GALUSDT
141,OPUSDT
